time,Temps moyen entre les vagues,Direction moyenne des vagues,Période des vagues énergétiques,Hauteur moyenne des vagues les plus hautes
2017-11-15 00:00:00,7.5133620227621805,0.5844840179833267,9.729030774011605,0.5044856327574854
2017-11-15 01:00:00,7.719121146087121,0.582459486266661,9.624165366265068,0.5029847485114356
2017-11-15 02:00:00,7.928378830488787,0.5822256532962666,9.48136084758584,0.5041104116959731
2017-11-15 03:00:00,8.155347980341379,0.584172787664773,9.384168518454901,0.5080502328418541
2017-11-15 04:00:00,8.404839117125393,0.587669163978552,10.56795403598391,0.5142413803568093
2017-11-15 05:00:00,8.67160439922574,0.5926229290326492,10.500175174879441,0.5228714647715957
2017-11-15 06:00:00,8.896824268539968,0.5988605218228986,17.394010028851042,0.5335652650247003
2017-11-15 07:00:00,8.73720241941435,0.6071210616000495,17.027833666028783,0.5468856127083921
2017-11-15 08:00:00,7.7711622421034185,0.6229210754579894,16.696612439122035,0.5660218868455269
2017-11-15 09:00:00,8.061761471538961,0.6284557040885338,16.507343166603892,0.5800926766522441
2017-11-15 10:00:00,7.840258823368755,0.6342552488889669,16.372638008685577,0.5966024033587916
2017-11-15 11:00:00,7.650461884956376,0.6349221506055336,16.255410418725013,0.6132997405960952
2017-11-15 12:00:00,7.877212374741672,0.6304672329738787,16.132214878730096,0.6258696461567625
2017-11-15 13:00:00,8.466282596035391,0.6276349841065405,15.979179588563401,0.6348749516330612
2017-11-15 14:00:00,9.123574758325264,0.6276349841065405,15.754528897984436,0.6429422044555793
2017-11-15 15:00:00,9.682688550399517,0.6292012065733852,15.396025613777775,0.6513846783396087
2017-11-15 16:00:00,10.123288585999681,0.6315829242180402,15.150060815933253,0.6600147627543951
2017-11-15 17:00:00,10.474893974210632,0.6338845438329553,14.99787809005718,0.6688324576999376
2017-11-15 18:00:00,10.75674680095436,0.6364024610480863,14.883208192968485,0.6776501526454801
2017-11-15 19:00:00,10.984371931008837,0.6384709630316784,14.778342785221946,0.6860926265295104
2017-11-15 20:00:00,11.171763608680967,0.6406084888910605,14.66239404169732,0.6947227109442968
2017-11-15 21:00:00,11.32876153699904,0.6421532616727711,14.511490162257179,0.702789963766814
2017-11-15 22:00:00,11.451867154886333,0.6434018855801574,14.287692035968835,0.710669606058576
2017-11-15 23:00:00,11.546984284159818,0.6442822382049325,13.990573380686978,0.7181740272888248
2017-11-16 00:00:00,11.613894264752199,0.6448686662056075,13.813666290382859,0.7253032274575615
2017-11-16 01:00:00,11.66156215942259,0.6451617379517898,13.705390625473832,0.7318695960340289
2017-11-16 02:00:00,11.692830549045826,0.6453814794898692,13.63334894291625,0.7380607435489841
2017-11-16 03:00:00,11.711853974900524,0.6455279441853646,13.58048995689767,0.7433138384101587
2017-11-16 04:00:00,11.720600377592339,0.6455279441853646,13.537435460221246,0.7478164911483081
2017-11-16 05:00:00,11.721256357794225,0.6456011676321266,13.495659809980754,0.7513810912326759
2017-11-16 06:00:00,11.71250995510241,0.6457475967203097,13.443227106107486,0.753632417601751
2017-11-16 07:00:00,11.700483651401164,0.645820802360386,13.359675805626505,0.7547580807862886
2017-11-16 08:00:00,11.67752434433515,0.6461135655448861,13.216018722656653,0.7551333018478008
